timestamp,participant_id,session_id,age,genre,origine,statut_professionnel,niveau_etudes,code_postal,autonomie_percue,confiance_en_soi,satisfaction_globale,recommandation_nps,remarques_ouvertes,in_q6
2024-12-10T10:30:00Z,P-IN-001,S-Hiver-2025,45,Feminin,Française (ou Union Européenne),Sans_emploi,Primaire / Secondaire,76600,4,4,5,9,Formation excellente ! Je me sens beaucoup plus à l'aise,5
2024-12-10T11:00:00Z,P-IN-002,S-Hiver-2025,52,Masculin,Française (ou Union Européenne),Retraite,Post-secondaire / Technique,76600,4,4,5,9,Très satisfait de la formation,7
2024-12-11T09:15:00Z,P-IN-003,S-Hiver-2025,38,Feminin,Étrangère (hors Union Européenne),Sans_emploi,Universitaire (Bac / Licence),76610,4,4,4,8,J'ai pu faire mes démarches CAF toute seule,4
2024-12-11T10:45:00Z,P-IN-004,S-Hiver-2025,67,Masculin,Française (ou Union Européenne),Retraite,Primaire / Secondaire,76600,3,3,4,7,C'était difficile au début mais maintenant ça va mieux,3
2024-12-12T14:00:00Z,P-IN-005,S-Hiver-2025,29,Non_genré,Française (ou Union Européenne),Etudiant,Universitaire (Master / Doctorat),76000,5,5,5,10,Parfait ! J'ai appris des astuces que je ne connaissais pas,10
2024-12-13T09:30:00Z,P-IN-006,S-Hiver-2025,41,Feminin,Étrangère (hors Union Européenne),Sans_emploi,Post-secondaire / Technique,76100,4,4,5,9,Maintenant je peux envoyer des emails et remplir des formulaires,6
2024-12-13T11:00:00Z,P-IN-007,S-Hiver-2025,55,Masculin,Française (ou Union Européenne),Employe_Salarie,Post-secondaire / Technique,76600,4,4,4,8,Utile pour mon travail,5
2024-12-14T10:00:00Z,P-IN-008,S-Hiver-2025,48,Feminin,Française (ou Union Européenne),Sans_emploi,Primaire / Secondaire,76610,4,3,4,7,Je me sens moins stressée face à l'ordinateur,4
2024-12-15T13:30:00Z,P-IN-009,S-Hiver-2025,33,Masculin,Française (ou Union Européenne),Independant,Universitaire (Bac / Licence),76000,5,5,5,9,Formation très professionnelle,8
2024-12-15T15:00:00Z,P-IN-010,S-Hiver-2025,61,Feminin,Française (ou Union Européenne),Retraite,Primaire / Secondaire,76600,3,3,4,8,Mes petits-enfants sont fiers de moi maintenant !,3
2024-12-16T09:00:00Z,P-IN-011,S-Hiver-2025,44,Masculin,Étrangère (hors Union Européenne),Sans_emploi,Post-secondaire / Technique,76100,4,4,4,8,M'a aidé pour mes candidatures en ligne,6
2024-12-16T10:30:00Z,P-IN-012,S-Hiver-2025,36,Feminin,Française (ou Union Européenne),Employe_Salarie,Universitaire (Bac / Licence),76000,5,5,5,10,Excellente formation que je recommande vivement,9